PeakID (cmd=annotatePeaks.pl results/overlaps/bcor_kdm2b_overlap_without_h3k27me3.bed hg18)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
BCOR_KDM2B_common_region-1808	chr14	22305773	22305851	+	.	NA	promoter-TSS (NM_005015)	NA	75	NM_005015	5018		NM_005015	ENSG00000155463	OXA1L	OXA1|OXA1L1	OXA1L mitochondrial inner membrane protein	protein-coding
BCOR_KDM2B_common_region-2672	chr17	6484988	6485245	+	.	NA	promoter-TSS (NM_032731)	NA	12	NM_032731	84817		NM_032731	ENSG00000129235	TXNDC17	TRP14|TXNL5	thioredoxin domain containing 17	protein-coding
BCOR_KDM2B_common_region-614	chr1	227761107	227761677	+	.	NA	promoter-TSS (NM_012089)	NA	-315	NM_012089	23456		NM_012089	ENSG00000135776	ABCB10	EST20237|M-ABC2|MTABC2	ATP binding cassette subfamily B member 10	protein-coding
BCOR_KDM2B_common_region-1380	chr12	46786333	46786514	+	.	NA	promoter-TSS (NR_051992)	NA	257	NM_001354736	5213		NM_000289	ENSG00000152556	PFKM	ATP-PFK|GSD7|PFK-1|PFK-A|PFK1|PFKA|PFKX|PPP1R122	phosphofructokinase, muscle	protein-coding
BCOR_KDM2B_common_region-5114	chr5	133890034	133890412	+	.	NA	intron (NM_015288, intron 1 of 10)	NA	526	NM_015288	23338		NM_015288	ENSG00000043143	JADE2	JADE-2|PHF15	jade family PHD finger 2	protein-coding
BCOR_KDM2B_common_region-64	chr1	9925815	9926163	+	.	NA	promoter-TSS (NM_022787)	NA	47	NM_001316973	84328		NM_032368	ENSG00000162441	LZIC	-	leucine zipper and CTNNBIP1 domain containing	protein-coding
BCOR_KDM2B_common_region-973	chr11	685715	686366	+	.	NA	promoter-TSS (NM_021008)	NA	224	NM_001276253	283232		NM_174940	ENSG00000177042	TMEM80	-	transmembrane protein 80	protein-coding
BCOR_KDM2B_common_region-419	chr1	150002452	150002752	+	.	NA	promoter-TSS (NM_001300733)	NA	-6	NM_001300733	65005		NM_031420	ENSG00000143436	MRPL9	L9mt|bL9m	mitochondrial ribosomal protein L9	protein-coding
BCOR_KDM2B_common_region-5362	chr6	26264460	26264861	+	.	NA	exon (NM_005321, exon 1 of 1)	NA	124	NM_005321	3008		NM_005321	ENSG00000168298	H1-4	H1.4|H1E|H1F4|H1s-4|HIST1H1E|RMNS|dJ221C16.5	H1.4 linker histone, cluster member	protein-coding
BCOR_KDM2B_common_region-6490	chr9	129929469	129929968	+	.	NA	promoter-TSS (NR_024425)	NA	111	NM_025072	80142		NM_025072	ENSG00000148334	PTGES2	C9orf15|GBF-1|GBF1|PGES2|mPGES-2	prostaglandin E synthase 2	protein-coding
BCOR_KDM2B_common_region-1310	chr12	6852630	6852873	+	.	NA	promoter-TSS (NM_032641)	NA	-23	NM_032641	84727		NM_032641	ENSG00000111671	SPSB2	GRCC9|SSB2	splA/ryanodine receptor domain and SOCS box containing 2	protein-coding
BCOR_KDM2B_common_region-4410	chr3	52296906	52297034	+	.	NA	promoter-TSS (NR_026699)	NA	86	NR_026700	132158		NM_145262	ENSG00000168237	GLYCTK	HBEBP2|HBEBP4|HBeAgBP4A	glycerate kinase	protein-coding
BCOR_KDM2B_common_region-6695	chrX	149612996	149613135	+	.	NA	intron (NR_148676, intron 1 of 16)	NA	538	NM_001306144	8776		NM_003828	ENSG00000063601	MTMR1	-	myotubularin related protein 1	protein-coding
BCOR_KDM2B_common_region-6136	chr8	78074765	78074925	+	.	NA	promoter-TSS (NM_000318)	NA	24	NM_000318	5828		NM_000318	ENSG00000164751	PEX2	PAF1|PBD5A|PBD5B|PMP3|PMP35|PXMP3|RNF72|ZWS3	peroxisomal biogenesis factor 2	protein-coding
BCOR_KDM2B_common_region-3310	chr19	59358098	59358193	+	.	NA	intron (NM_001145303, intron 10 of 14)	NA	-2874	NM_024316	79165		NM_024316	ENSG00000105617	LENG1	-	leukocyte receptor cluster member 1	protein-coding
BCOR_KDM2B_common_region-1672	chr13	27093981	27094271	+	.	NA	promoter-TSS (NM_015972)	NA	97	NM_015972	51082		NM_015972	ENSG00000186184	POLR1D	AC19|POLR1C|RPA16|RPA9|RPAC2|RPC16|RPO1-3|TCS2	RNA polymerase I and III subunit D	protein-coding
BCOR_KDM2B_common_region-682	chr10	5767111	5767716	+	.	NA	intron (NM_017782, intron 1 of 20)	NA	606	NM_001321785	54906		NM_017782	ENSG00000108021	TASOR2	C10orf18|FAM208B|bA318E3.2	transcription activation suppressor family member 2	protein-coding
BCOR_KDM2B_common_region-5151	chr5	139069566	139069714	+	.	NA	Intergenic	NA	34428	NM_001317211	51523		NM_016463	ENSG00000171604	CXXC5	CF5|HSPC195|RINF|WID	CXXC finger protein 5	protein-coding
BCOR_KDM2B_common_region-3055	chr18	58341918	58343153	+	.	NA	non-coding (NR_126534, exon 1 of 15)	NA	1297	NM_017742	54877		NM_017742	ENSG00000141664	ZCCHC2	C18orf49	zinc finger CCHC-type containing 2	protein-coding
BCOR_KDM2B_common_region-3722	chr2	174537768	174538255	+	.	NA	intron (NM_001172712, intron 1 of 6)	NA	665	NM_001172712	6670		NM_003111	ENSG00000172845	SP3	SPR2	Sp3 transcription factor	protein-coding
BCOR_KDM2B_common_region-69	chr1	10477883	10478354	+	.	NA	intron (NM_004565, intron 2 of 8)	NA	20524	NM_004565	5195		NM_004565	ENSG00000142655	PEX14	NAPP2|PBD13A|Pex14p|dJ734G22.2	peroxisomal biogenesis factor 14	protein-coding
BCOR_KDM2B_common_region-2902	chr17	71579701	71580189	+	.	NA	intron (NM_001260502, intron 1 of 14)	NA	248	NM_014230	6730		NM_014230	ENSG00000167881	SRP68	SCN10	signal recognition particle 68	protein-coding
BCOR_KDM2B_common_region-2059	chr15	39310636	39310900	+	.	NA	promoter-TSS (NM_152596)	NA	10	NM_007236	11261		NM_007236	ENSG00000187446	CHP1	CHP|SLC9A1BP|SPAX9|Sid470p|p22|p24	calcineurin like EF-hand protein 1	protein-coding
BCOR_KDM2B_common_region-5445	chr6	41862918	41863416	+	.	NA	promoter-TSS (NM_001134493)	NA	-243	NM_001382294	100188893		NM_001134493	ENSG00000214736	TOMM6	OBTP|TOM6	translocase of outer mitochondrial membrane 6	protein-coding
BCOR_KDM2B_common_region-6478	chr9	128525365	128525623	+	.	NA	Intergenic	NA	-81612	NM_001135776	23099		NM_014007	ENSG00000169155	ZBTB43	ZBTB22B|ZNF-X|ZNF297B	zinc finger and BTB domain containing 43	protein-coding
BCOR_KDM2B_common_region-5068	chr5	107744817	107746216	+	.	NA	5' UTR (NM_001163315, exon 1 of 9)	NA	182	NM_001163315	64839		NM_022824	ENSG00000145743	FBXL17	FBXO13|Fbl17|Fbx13	F-box and leucine rich repeat protein 17	protein-coding
BCOR_KDM2B_common_region-5693	chr6	166218433	166218506	+	.	NA	Intergenic	NA	-102560	NR_027284	441177		NM_001013720	ENSG00000281832	LINC00602	-	long intergenic non-protein coding RNA 602	ncRNA
BCOR_KDM2B_common_region-2274	chr15	97862437	97862456	+	.	NA	Intergenic	NA	-60699	NM_001352617	4205		NM_005587	ENSG00000068305	MEF2A	ADCAD1|RSRFC4|RSRFC9|mef2	myocyte enhancer factor 2A	protein-coding
BCOR_KDM2B_common_region-5627	chr6	139738099	139738485	+	.	NA	promoter-TSS (NM_006079)	NA	-814	NM_006079	10370		NM_006079	ENSG00000164442	CITED2	ASD8|MRG-1|MRG1|P35SRJ|VSD2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	protein-coding
BCOR_KDM2B_common_region-5954	chr7	129039663	129039826	+	.	NA	intron (NM_005011, intron 1 of 10)	NA	947	NM_001293163	4899		NM_005011	ENSG00000106459	NRF1	ALPHA-PAL	nuclear respiratory factor 1	protein-coding
BCOR_KDM2B_common_region-3980	chr20	43425506	43425679	+	.	NA	exon (NM_033542, exon 2 of 4)	NA	369	NR_003189	767557		NR_003189	ENSG00000254806	SYS1-DBNDD2	C20orf169-DBNDD2	SYS1-DBNDD2 readthrough (NMD candidate)	ncRNA
BCOR_KDM2B_common_region-1394	chr12	48421209	48421456	+	.	NA	promoter-TSS (NM_003217)	NA	-275	NM_003217	7009		NM_003217	ENSG00000139644	TMBIM6	BAXI1|BI-1|TEGT	transmembrane BAX inhibitor motif containing 6	protein-coding
BCOR_KDM2B_common_region-3858	chr2	234147044	234147398	+	.	NA	promoter-TSS (NM_001382303)	NA	50	NM_001382303	55230		NM_018218	ENSG00000085982	USP40	-	ubiquitin specific peptidase 40	protein-coding
BCOR_KDM2B_common_region-722	chr10	22650158	22650613	+	.	NA	5' UTR (NM_005180, exon 1 of 10)	NA	351	NM_005180	648		NM_005180	ENSG00000168283	BMI1	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1	BMI1 proto-oncogene, polycomb ring finger	protein-coding
BCOR_KDM2B_common_region-3111	chr18	75540794	75540916	+	.	NA	promoter-TSS (NR_136643)	NA	64	NM_048368	9150		NM_004715	ENSG00000060069	CTDP1	CCFDN|FCP1	CTD phosphatase subunit 1	protein-coding
BCOR_KDM2B_common_region-1634	chr12	131000290	131001258	+	.	NA	intron (NM_015409, intron 1 of 52)	NA	334	NM_015409	57634		NM_015409	ENSG00000183495	EP400	CAGH32|P400|TNRC12	E1A binding protein p400	protein-coding
BCOR_KDM2B_common_region-2283	chr15	99653135	99653152	+	.	NA	promoter-TSS (NR_135506)	NA	-167	NR_135508	6627		NM_003090	ENSG00000131876	SNRPA1	Lea1|U2A'	small nuclear ribonucleoprotein polypeptide A'	protein-coding
BCOR_KDM2B_common_region-6192	chr8	110415721	110415971	+	.	NA	promoter-TSS (NM_020189)	NA	94	NR_036471	56943		NM_020189	ENSG00000120533	ENY2	DC6|Sus1|e(y)2	ENY2 transcription and export complex 2 subunit	protein-coding
BCOR_KDM2B_common_region-4689	chr4	14613148	14613474	+	.	NA	promoter-TSS (NR_038857)	NA	108	NM_001177382	132864		NM_182485	ENSG00000137449	CPEB2	CPE-BP2|CPEB-2|hCPEB-2	cytoplasmic polyadenylation element binding protein 2	protein-coding
BCOR_KDM2B_common_region-646	chr1	242681666	242681868	+	.	NA	promoter-TSS (NM_001126)	NA	67	NM_001126	159		NM_001126	ENSG00000035687	ADSS2	ADEH|ADSS|ADSS 2	adenylosuccinate synthase 2	protein-coding
BCOR_KDM2B_common_region-5016	chr5	61638069	61638246	+	.	NA	intron (NM_004520, intron 1 of 19)	NA	367	NM_001243952	3796		NM_004520	ENSG00000068796	KIF2A	CDCBM3|HK2|KIF2	kinesin family member 2A	protein-coding
BCOR_KDM2B_common_region-657	chr1	244796351	244796859	+	.	NA	promoter-TSS (NM_022366)	NA	224	NM_152609	163882		NM_152609	ENSG00000162852	CNST	C1orf71|PPP1R64	consortin, connexin sorting protein	protein-coding
BCOR_KDM2B_common_region-2953	chr17	77574661	77574794	+	.	NA	promoter-TSS (NM_001271007)	NA	257	NM_144999	201255		NM_144999	ENSG00000169683	LRRC45	-	leucine rich repeat containing 45	protein-coding
BCOR_KDM2B_common_region-2726	chr17	20887340	20887696	+	.	NA	promoter-TSS (NM_015276)	NA	-602	NM_015276	23326		NM_015276	ENSG00000124422	USP22	USP3L	ubiquitin specific peptidase 22	protein-coding
BCOR_KDM2B_common_region-2391	chr16	19086606	19086788	+	.	NA	promoter-TSS (NM_016524)	NA	40	NM_001330509	51760		NM_016524	ENSG00000103528	SYT17	Syt-17|sytXVII	synaptotagmin 17	protein-coding
BCOR_KDM2B_common_region-5837	chr7	50445438	50445750	+	.	NA	Intergenic	NA	39948	NM_001042762	63979		NM_022116	ENSG00000132436	FIGNL1	-	fidgetin like 1	protein-coding
BCOR_KDM2B_common_region-6335	chr9	36477845	36478212	+	.	NA	Intergenic	NA	-84831	NM_001256687	9833		NM_014791	ENSG00000165304	MELK	HPK38	maternal embryonic leucine zipper kinase	protein-coding
BCOR_KDM2B_common_region-4450	chr3	72870838	72870994	+	.	NA	Intergenic	NA	-74826	NR_135531	105377162		NR_135531		LOC105377162	-	uncharacterized LOC105377162	ncRNA
BCOR_KDM2B_common_region-4932	chr4	185892421	185892673	+	.	NA	promoter-TSS (NM_024629)	NA	-303	NR_104593	79682		NM_024629	ENSG00000151725	CENPU	CENP50|CENPU50|KLIP1|MLF1IP|PBIP1	centromere protein U	protein-coding
BCOR_KDM2B_common_region-4652	chr3	197923967	197924128	+	.	NA	promoter-TSS (NM_001379469)	NA	402	NM_001166304	54965		NM_017861	ENSG00000163964	PIGX	PIG-X	phosphatidylinositol glycan anchor biosynthesis class X	protein-coding
BCOR_KDM2B_common_region-2539	chr16	83602588	83602924	+	.	NA	promoter-TSS (NM_017740)	NA	-114	NM_017740	55625		NM_017740	ENSG00000153786	ZDHHC7	DHHC7|SERZ-B|SERZ1|ZNF370	zinc finger DHHC-type palmitoyltransferase 7	protein-coding
BCOR_KDM2B_common_region-6628	chrX	48915066	48915342	+	.	NA	promoter-TSS (NM_002668)	NA	15	NM_002668	5355		NM_002668	ENSG00000102007	PLP2	A4|A4LSB	proteolipid protein 2	protein-coding
BCOR_KDM2B_common_region-837	chr10	93548506	93548748	+	.	NA	promoter-TSS (NR_108071)	NA	464	NM_025235	80351		NM_025235	ENSG00000107854	TNKS2	ARTD6|PARP-5b|PARP-5c|PARP5B|PARP5C|TANK2|TNKL|pART6	tankyrase 2	protein-coding
BCOR_KDM2B_common_region-1406	chr12	51948356	51948573	+	.	NA	intron (NM_012291, intron 1 of 30)	NA	114	NM_012291	9700		NM_012291	ENSG00000135476	ESPL1	ESP1|SEPA	extra spindle pole bodies like 1, separase	protein-coding
BCOR_KDM2B_common_region-5352	chr6	24828873	24829029	+	.	NA	Intergenic	NA	-1590	NM_030939	81688		NM_030939	ENSG00000112308	C6orf62	Nbla00237|XTP12|dJ30M3.2	chromosome 6 open reading frame 62	protein-coding
BCOR_KDM2B_common_region-2365	chr16	8869536	8869857	+	.	NA	promoter-TSS (NM_001278264)	NA	23	NM_001278263	23589		NM_014316	ENSG00000153048	CARHSP1	CRHSP-24|CRHSP24|CSDC1	calcium regulated heat stable protein 1	protein-coding
BCOR_KDM2B_common_region-160	chr1	28780737	28781266	+	.	NA	promoter-TSS (NR_024127)	NA	-29	NR_146381	85028		NR_024127	ENSG00000197989	SNHG12	ASLNC04080|C1orf79|LINC00100|NCRNA00100|PNAS-123	small nucleolar RNA host gene 12	ncRNA
BCOR_KDM2B_common_region-1344	chr12	22588056	22588181	+	.	NA	intron (NR_169598, intron 2 of 24)	NA	280	NM_001286174	9847		NM_014802	ENSG00000111731	C2CD5	CDP138|KIAA0528	C2 calcium dependent domain containing 5	protein-coding
BCOR_KDM2B_common_region-4126	chr21	44485864	44485964	+	.	NA	promoter-TSS (NM_001283052)	NA	-637	NM_001363770	102723996		NM_001363770	ENSG00000277117	LOC102723996	-	ICOS ligand	protein-coding
BCOR_KDM2B_common_region-3216	chr19	16600368	16600691	+	.	NA	promoter-TSS (NM_004831)	NA	-514	NM_004831	9441		NM_004831	ENSG00000105085	MED26	CRSP7|CRSP70	mediator complex subunit 26	protein-coding
BCOR_KDM2B_common_region-5314	chr6	10831259	10831474	+	.	NA	promoter-TSS (NM_016462)	NA	77	NM_016462	51522		NM_016462	ENSG00000111843	TMEM14C	C6orf53|HSPC194|MSTP073|NET26|bA421M1.6	transmembrane protein 14C	protein-coding
BCOR_KDM2B_common_region-5614	chr6	135544511	135544772	+	.	NA	intron (NR_134960, intron 1 of 15)	NA	502	NR_134960	4602		NM_005375	ENSG00000118513	MYB	Cmyb|c-myb|c-myb_CDS|efg	MYB proto-oncogene, transcription factor	protein-coding
BCOR_KDM2B_common_region-3306	chr19	54860676	54860815	+	.	NA	promoter-TSS (NM_001385706)	NA	181	NM_001197124	3661		NM_001571	ENSG00000126456	IRF3	IIAE7	interferon regulatory factor 3	protein-coding
BCOR_KDM2B_common_region-1792	chr13	112855989	112856095	+	.	NA	Intergenic	NA	-4921	NM_003891	8858		NM_003891	ENSG00000126231	PROZ	PZ	protein Z, vitamin K dependent plasma glycoprotein	protein-coding
BCOR_KDM2B_common_region-4622	chr3	185714343	185714453	+	.	NA	Intergenic	NA	43002	NR_046593	100874079		NR_046593	ENSG00000230215	LINC01840	EIF2B5-AS1	long intergenic non-protein coding RNA 1840	ncRNA
BCOR_KDM2B_common_region-3456	chr2	47256912	47257238	+	.	NA	promoter-TSS (NM_001743)	NA	79	NM_001743	805		NM_001743	ENSG00000143933	CALM2	CALM|CALML2|CAM1|CAM3|CAMC|CAMII|CAMIII|LQT15|PHKD|PHKD2|caM	calmodulin 2	protein-coding
BCOR_KDM2B_common_region-3094	chr18	75262650	75262744	+	.	NA	intron (NM_001278673, intron 1 of 8)	NA	1410	NM_001278675	4772		NM_006162	ENSG00000131196	NFATC1	NF-ATC|NF-ATc1.2|NFAT2|NFATc	nuclear factor of activated T cells 1	protein-coding
BCOR_KDM2B_common_region-2251	chr15	88529219	88529684	+	.	NA	intron (NM_001324029, intron 1 of 12)	NA	295	NM_001324029	10509		NM_020210	ENSG00000185033	SEMA4B	SEMAC|SemC	semaphorin 4B	protein-coding
BCOR_KDM2B_common_region-4355	chr3	47026423	47026574	+	.	NA	TTS (NM_001365116)	NA	-1538	NR_024046	100129354		NR_024046		NRADDP	-	neurotrophin receptor associated death domain, pseudogene	pseudo
BCOR_KDM2B_common_region-467	chr1	159402263	159402363	+	.	NA	promoter-TSS (NM_001350131)	NA	-527	NM_001365401	5498		NM_000309	ENSG00000143224	PPOX	PPO|V290M|VP|VPCO	protoporphyrinogen oxidase	protein-coding
BCOR_KDM2B_common_region-3065	chr18	59137691	59137839	+	.	NA	5' UTR (NM_000633, exon 1 of 3)	NA	217	NM_000657	596		NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding
BCOR_KDM2B_common_region-4969	chr5	1686889	1687301	+	.	NA	promoter-TSS (NR_003713)	NA	25	NR_003713	728613		NR_003713		PDCD6P1	-	PDCD6 pseudogene 1	pseudo
BCOR_KDM2B_common_region-1943	chr14	73296248	73297121	+	.	NA	promoter-TSS (NM_194278)	NA	70	NM_194278	91748		NM_194278	ENSG00000156030	MIDEAS	C14orf117|C14orf43|ELMSAN1|LSR68|c14_5541	mitotic deacetylase associated SANT domain protein	protein-coding
BCOR_KDM2B_common_region-4714	chr4	39870759	39870896	+	.	NA	promoter-TSS (NM_001278369)	NA	-147	NM_001278365	399		NM_004310	ENSG00000168421	RHOH	ARHH|TTF	ras homolog family member H	protein-coding
BCOR_KDM2B_common_region-118	chr1	23758122	23758850	+	.	NA	promoter-TSS (NM_002167)	NA	93	NM_002167	3399		NM_002167	ENSG00000117318	ID3	HEIR-1|bHLHb25	inhibitor of DNA binding 3	protein-coding
BCOR_KDM2B_common_region-2255	chr15	88609882	88609937	+	.	NA	promoter-TSS (NM_001033088)	NA	1	NM_001033088	51335		NM_016645	ENSG00000182768	NGRN	DSC92	neugrin, neurite outgrowth associated	protein-coding
BCOR_KDM2B_common_region-212	chr1	38713954	38714093	+	.	NA	non-coding (NR_146761, exon 1 of 3)	NA	568	NR_146761	105378656		NR_146761		LINC01685	-	long intergenic non-protein coding RNA 1685	ncRNA
BCOR_KDM2B_common_region-3753	chr2	191454255	191455064	+	.	NA	intron (NM_001256310, intron 1 of 14)	NA	867	NM_014905	2744		NM_014905	ENSG00000115419	GLS	AAD20|CASGID|DEE71|EIEE71|GAC|GAM|GDPAG|GLS1|KGA	glutaminase	protein-coding
BCOR_KDM2B_common_region-2269	chr15	92575158	92575297	+	.	NA	promoter-TSS (NR_169528)	NA	-567	NM_001385010	55784		NM_018349	ENSG00000140563	MCTP2	-	multiple C2 and transmembrane domain containing 2	protein-coding
BCOR_KDM2B_common_region-5788	chr7	28185988	28186176	+	.	NA	promoter-TSS (NR_034097)	NA	-519	NR_034097	100128081		NR_034097		JAZF1-AS1	-	JAZF1 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-2107	chr15	54966596	54967167	+	.	NA	non-coding (NR_015419, exon 4 of 4)	NA	-30699	NM_001322151	6938		NM_003205	ENSG00000140262	TCF12	CRS3|HEB|HH26|HTF4|HsT17266|TCF-12|bHLHb20|p64	transcription factor 12	protein-coding
BCOR_KDM2B_common_region-3660	chr2	122210582	122210592	+	.	NA	intron (NM_032390, intron 1 of 6)	NA	334	NM_032390	84365		NM_032390	ENSG00000155438	NIFK	MKI67IP|Nopp34	nucleolar protein interacting with the FHA domain of MKI67	protein-coding
BCOR_KDM2B_common_region-721	chr10	22645334	22646107	+	.	NA	intron (NM_001204062, intron 1 of 13)	NA	397	NM_012071	23412		NM_012071	ENSG00000148444	COMMD3	BUP|C10orf8	COMM domain containing 3	protein-coding
BCOR_KDM2B_common_region-717	chr10	17312433	17312738	+	.	NA	promoter-TSS (NR_108061)	NA	-595	NR_108061	100507347		NR_108060	ENSG00000229124	VIM-AS1	-	VIM antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-6647	chrX	109132515	109132700	+	.	NA	promoter-TSS (NM_001353849)	NA	60	NM_001353849	84187		NM_017698	ENSG00000157600	TMEM164	bB360B22.3	transmembrane protein 164	protein-coding
BCOR_KDM2B_common_region-2955	chr17	77648993	77649504	+	.	NA	intron (NM_004104, intron 1 of 42)	NA	153	NM_004104	2194		NM_004104	ENSG00000169710	FASN	FAS|OA-519|SDR27X1	fatty acid synthase	protein-coding
BCOR_KDM2B_common_region-98	chr1	16566858	16567077	+	.	NA	intron (NR_073500, intron 1 of 1)	NA	643	NR_073503	26099		NM_001114600	ENSG00000055070	SZRD1	C1orf144	SUZ RNA binding domain containing 1	protein-coding
BCOR_KDM2B_common_region-2855	chr17	58908239	58908455	+	.	NA	exon (NM_000789, exon 1 of 25)	NA	193	NM_001382701	1636		NM_000789	ENSG00000159640	ACE	ACE1|CD143|DCP|DCP1	angiotensin I converting enzyme	protein-coding
BCOR_KDM2B_common_region-1617	chr12	123594793	123594873	+	.	NA	intron (NM_006312, intron 1 of 48)	NA	23278	NM_006312	9612		NM_006312	ENSG00000196498	NCOR2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2	protein-coding
BCOR_KDM2B_common_region-6341	chr9	37069907	37070052	+	.	NA	promoter-TSS (NR_036592)	NA	86	NR_036592	100506710		NR_036592	ENSG00000281649	EBLN3P	EBLN3	endogenous Bornavirus like nucleoprotein 3, pseudogene	pseudo
BCOR_KDM2B_common_region-6204	chr8	123944211	123944360	+	.	NA	intron (NM_001362797, intron 1 of 4)	NA	81210	NM_001362797	22882		NM_014943	ENSG00000178764	ZHX2	AFR1|RAF	zinc fingers and homeoboxes 2	protein-coding
BCOR_KDM2B_common_region-5997	chr7	151792064	151793083	+	.	NA	non-coding (NR_027387, exon 1 of 1)	NA	431	NR_027387	100128822		NR_027387	ENSG00000261455	LINC01003	-	long intergenic non-protein coding RNA 1003	ncRNA
BCOR_KDM2B_common_region-5171	chr5	142763722	142764209	+	.	NA	promoter-TSS (NM_001204265)	NA	29	NM_001364181	2908		NM_000176	ENSG00000113580	NR3C1	GCCR|GCR|GCRST|GR|GRL	nuclear receptor subfamily 3 group C member 1	protein-coding
BCOR_KDM2B_common_region-1003	chr11	3775032	3775411	+	.	NA	promoter-TSS (NM_001283040)	NA	131	NR_157591	4928		NM_005387	ENSG00000110713	NUP98	ADIR2|NUP196|NUP96|Nup98-96	nucleoporin 98 and 96 precursor	protein-coding
