PeakID (cmd=annotatePeaks.pl results/tmp/normalized_peaks/BCOR_LY1_hg18.bed hg18)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
BCOR_peak_7398	chr20	55626521	55627068	+	.	NA	intron (NM_001160417, intron 1 of 7)	NA	2094	NM_001160417	81030		NM_030776	ENSG00000124256	ZBP1	C20orf183|DAI|DLM-1|DLM1	Z-DNA binding protein 1	protein-coding
BCOR_peak_5036	chr4	84030944	84031739	+	.	NA	promoter-TSS (NM_001077207)	NA	-11	NM_001077207	22872		NM_014933	ENSG00000138674	SEC31A	ABP125|ABP130|HPBKS|HSPC275|HSPC334|NEDSOSB|SEC31L1	SEC31 homolog A, COPII coat complex component	protein-coding
BCOR_peak_15297	chr10	643773	644031	+	.	NA	intron (NM_014974, intron 1 of 36)	NA	-20602	NR_147612	101930421		NR_147612	ENSG00000225140	LOC101930421	-	uncharacterized LOC101930421	ncRNA
BCOR_peak_15025	chr11	71612643	71612958	+	.	NA	promoter-TSS (NM_001567)	NA	-659	NM_001567	3636		NM_001567	ENSG00000165458	INPPL1	OPSMD|SHIP2	inositol polyphosphate phosphatase like 1	protein-coding
BCOR_peak_17087	chr1	159281677	159281803	+	.	NA	promoter-TSS (NM_001276373)	NA	-342	NM_001276373	7391		NM_007122	ENSG00000158773	USF1	FCHL|FCHL1|HYPLIP1|MLTF|MLTFI|UEF|bHLHb11	upstream transcription factor 1	protein-coding
BCOR_peak_11724	chr15	48433507	48434674	+	.	NA	non-coding (NR_024490, exon 1 of 1)	NA	278	NR_026891	55056		NM_017976	ENSG00000285410	GABPB1-IT1	-	GABPB1 intronic transcript	ncRNA
BCOR_peak_693	chr9	113699518	113699741	+	.	NA	intron (NM_003358, intron 1 of 8)	NA	714	NM_003358	7357		NM_003358	ENSG00000148154	UGCG	GCS|GLCT1	UDP-glucose ceramide glucosyltransferase	protein-coding
BCOR_peak_16821	chr1	101547638	101548313	+	.	NA	Intergenic	NA	-14006	NR_126402	104355286		NR_126402	ENSG00000231671	LINC01307	-	long intergenic non-protein coding RNA 1307	ncRNA
BCOR_peak_7424	chr20	60748789	60749017	+	.	NA	intron (NM_016354, intron 1 of 11)	NA	4603	NM_016354	28231		NM_016354	ENSG00000101187	SLCO4A1	OATP-E|OATP1|OATP4A1|OATPE|OATPRP1|POAT|SLC21A12	solute carrier organic anion transporter family member 4A1	protein-coding
BCOR_peak_16152	chr1	12002184	12002382	+	.	NA	intron (NM_021933, intron 1 of 9)	NA	141	NM_021933	60672		NM_021933	ENSG00000116691	MIIP	IIP45	migration and invasion inhibitory protein	protein-coding
BCOR_peak_10819	chr16	43457	43601	+	.	NA	promoter-TSS (NM_024571)	NA	79	NM_016310	51728		NM_016310	ENSG00000161980	POLR3K	C11|C11-RNP3|HLD21|My010|RPC10|RPC11|RPC12.5	RNA polymerase III subunit K	protein-coding
BCOR_peak_6653	chr22	36679366	36679512	+	.	NA	promoter-TSS (NM_001301131)	NA	115	NM_032561	84645		NM_032561	ENSG00000128346	C22orf23	EVG1|dJ1039K5.6	chromosome 22 open reading frame 23	protein-coding
BCOR_peak_1297	chr8	80843253	80843539	+	.	NA	promoter-TSS (NM_001040708)	NA	464	NR_125410	101927067		NR_125410	ENSG00000272138	LINC01607	-	long intergenic non-protein coding RNA 1607	ncRNA
BCOR_peak_17376	chr1	221054961	221055159	+	.	NA	promoter-TSS (NM_001350630)	NA	14	NR_165141	84976		NM_032890	ENSG00000154309	DISP1	DISPA	dispatched RND transporter family member 1	protein-coding
BCOR_peak_15530	chr10	43233550	43233845	+	.	NA	promoter-TSS (NR_145740)	NA	-803	NR_145740	109616985		NR_145740	ENSG00000221400	SNORD3J	-	small nucleolar RNA, C/D box 3J	snoRNA
BCOR_peak_7467	chr20	61921553	61921735	+	.	NA	intron (NR_110081, intron 1 of 2)	NA	11417	NM_001369741	140685		NM_025224	ENSG00000130584	ZBTB46	BTBD4|BZEL|RINZF|ZNF340|dJ583P15.7|dJ583P15.8	zinc finger and BTB domain containing 46	protein-coding
BCOR_peak_6572	chr22	25209693	25209849	+	.	NA	promoter-TSS (NR_146314)	NA	-22	NM_001349903	89781		NM_022081	ENSG00000100099	HPS4	BLOC3S2|LE	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2	protein-coding
BCOR_peak_17185	chr1	177317623	177318536	+	.	NA	exon (NM_022371, exon 1 of 6)	NA	251	NM_022371	64222		NM_022371	ENSG00000186283	TOR3A	ADIR|ADIR2	torsin family 3 member A	protein-coding
BCOR_peak_15127	chr11	83937994	83938199	+	.	NA	intron (NM_001351274, intron 5 of 26)	NA	-111599	NM_001377973	1740		NM_001364	ENSG00000150672	DLG2	PPP1R58|PSD-93|PSD93|chapsyn-110	discs large MAGUK scaffold protein 2	protein-coding
BCOR_peak_14133	chr12	123949049	123949183	+	.	NA	Intergenic	NA	16033	NM_021009	7316		NM_021009	ENSG00000150991	UBC	HMG20	ubiquitin C	protein-coding
BCOR_peak_16720	chr1	77519893	77520378	+	.	NA	promoter-TSS (NM_174858)	NA	-157	NM_174858	26289		NM_012093	ENSG00000154027	AK5	AK6	adenylate kinase 5	protein-coding
BCOR_peak_15405	chr10	12278170	12278270	+	.	NA	promoter-TSS (NM_006023)	NA	27	NM_006023	8872		NM_006023	ENSG00000151465	CDC123	C10orf7|D123	cell division cycle 123	protein-coding
BCOR_peak_11882	chr15	66638791	66639364	+	.	NA	intron (NM_001324014, intron 2 of 12)	NA	-19309	NM_006091	10391		NM_006091	ENSG00000103647	CORO2B	CLIPINC	coronin 2B	protein-coding
BCOR_peak_13504	chr12	26199960	26200146	+	.	NA	Intergenic	NA	-30816	NM_030762	79365		NM_030762	ENSG00000123095	BHLHE41	BHLHB3|DEC2|FNSS1|SHARP1|hDEC2	basic helix-loop-helix family member e41	protein-coding
BCOR_peak_15343	chr10	5774497	5775233	+	.	NA	intron (NM_017782, intron 1 of 20)	NA	8058	NM_001321785	54906		NM_017782	ENSG00000108021	TASOR2	C10orf18|FAM208B|bA318E3.2	transcription activation suppressor family member 2	protein-coding
BCOR_peak_3377	chr6	44388778	44389205	+	.	NA	promoter-TSS (NM_020745)	NA	71	NM_020745	57505		NM_020745	ENSG00000124608	AARS2	AARSL|COXPD8|LKENP|MT-ALARS|MTALARS	alanyl-tRNA synthetase 2, mitochondrial	protein-coding
BCOR_peak_9018	chr19	8305645	8306218	+	.	NA	exon (NM_198471, exon 3 of 11)	NA	8215	NM_198471	256949		NM_198471	ENSG00000186994	KANK3	ANKRD47	KN motif and ankyrin repeat domains 3	protein-coding
BCOR_peak_13384	chr12	6614915	6615134	+	.	NA	intron (NM_020400, intron 1 of 1)	NA	362	NM_020400	57121		NM_020400	ENSG00000184574	LPAR5	GPR92|GPR93|KPG_010|LPA5	lysophosphatidic acid receptor 5	protein-coding
BCOR_peak_8472	chr2	178767933	178768406	+	.	NA	intron (NM_001201482, intron 1 of 23)	NA	684	NM_001201481	114880		NM_032523	ENSG00000079156	OSBPL6	ORP6	oxysterol binding protein like 6	protein-coding
BCOR_peak_16684	chr1	64983577	64983719	+	.	NA	exon (NM_018211, exon 1 of 12)	NA	302	NM_018211	55225		NM_018211	ENSG00000162437	RAVER2	-	ribonucleoprotein, PTB binding 2	protein-coding
BCOR_peak_3247	chr6	36754208	36756492	+	.	NA	intron (NM_001220778, intron 1 of 2)	NA	881	NR_164655	1026		NM_000389	ENSG00000124762	CDKN1A	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	cyclin dependent kinase inhibitor 1A	protein-coding
BCOR_peak_15858	chr10	103566220	103566526	+	.	NA	intron (NM_012215, intron 1 of 15)	NA	1818	NM_012215	10724		NM_012215	ENSG00000198408	OGA	MEA5|MGEA5|NCOAT	O-GlcNAcase	protein-coding
BCOR_peak_16129	chr1	10454780	10455428	+	.	NA	promoter-TSS (NM_004401)	NA	69	NM_004401	1676		NM_004401	ENSG00000160049	DFFA	DFF-45|DFF1|ICAD	DNA fragmentation factor subunit alpha	protein-coding
BCOR_peak_7307	chr20	39199130	39199286	+	.	NA	promoter-TSS (NM_182811)	NA	-389	NM_182811	5335		NM_002660	ENSG00000124181	PLCG1	IDAA|NCKAP3|PLC-II|PLC1|PLC148|PLCgamma1	phospholipase C gamma 1	protein-coding
BCOR_peak_9948	chr17	2561782	2561949	+	.	NA	promoter-TSS (NM_001366661)	NA	-57	NM_001366661	23277		NM_015229	ENSG00000132361	CLUH	CLU1	clustered mitochondria homolog	protein-coding
BCOR_peak_2730	chr7	148356201	148356748	+	.	NA	promoter-TSS (NM_001371244)	NA	41	NR_163908	9601		NM_004911	ENSG00000155660	PDIA4	ERP70|ERP72|ERp-72	protein disulfide isomerase family A member 4	protein-coding
BCOR_peak_12846	chr13	28968655	28968845	+	.	NA	intron (NM_015233, intron 5 of 8)	NA	-8863	NR_046378	100874107		NR_046378		MTUS2-AS1	-	MTUS2 antisense RNA 1	ncRNA
BCOR_peak_83	chrX	40216553	40216726	+	.	NA	Intergenic	NA	-108527	NM_005765	10159		NM_005765	ENSG00000182220	ATP6AP2	APT6M8-9|ATP6IP2|ATP6M8-9|CDG2R|ELDF10|HT028|M8-9|MRXE|MRXSH|MSTP009|PRR|RENR|XMRE|XPDS	ATPase H+ transporting accessory protein 2	protein-coding
BCOR_peak_3459	chr6	84626159	84626308	+	.	NA	exon (NM_016230, exon 1 of 16)	NA	106	NM_016230	51167		NM_016230	ENSG00000065615	CYB5R4	NCB5OR|cb5/cb5R|dJ676J13.1	cytochrome b5 reductase 4	protein-coding
BCOR_peak_5788	chr3	67131416	67132348	+	.	NA	intron (NM_032505, intron 1 of 3)	NA	461	NM_032505	84541		NM_032505	ENSG00000163376	KBTBD8	TA-KRP|TAKRP	kelch repeat and BTB domain containing 8	protein-coding
BCOR_peak_2758	chr7	149101025	149101397	+	.	NA	5' UTR (NM_207336, exon 1 of 5)	NA	399	NM_001329856	168544		NM_207336	ENSG00000181444	ZNF467	EZI|Zfp467	zinc finger protein 467	protein-coding
BCOR_peak_1563	chr8	142199911	142200101	+	.	NA	Intergenic	NA	-7864	NM_001362798	22898		NM_014957	ENSG00000105339	DENND3	-	DENN domain containing 3	protein-coding
BCOR_peak_7582	chr2	10472352	10472503	+	.	NA	intron (NM_134421, intron 3 of 5)	NA	31999	NR_028374	100302743		NR_028374	ENSG00000206633	SNORA80B	ACA67B	small nucleolar RNA, H/ACA box 80B	snoRNA
BCOR_peak_9676	chr18	46594750	46595060	+	.	NA	intron (NM_001127174, intron 1 of 5)	NA	5479	NM_001369515	83876		NM_031939	ENSG00000134042	MRO	B29|C18orf3	maestro	protein-coding
BCOR_peak_3099	chr6	24753849	24754479	+	.	NA	promoter-TSS (NM_001168376)	NA	64	NM_001168376	9856		NM_014809	ENSG00000137261	KIAA0319	DYLX2|DYX2|NMIG	KIAA0319	protein-coding
BCOR_peak_7478	chr20	62164711	62165014	+	.	NA	promoter-TSS (NM_003195)	NA	-133	NM_003195	6919		NM_003195	ENSG00000171703	TCEA2	TFIIS	transcription elongation factor A2	protein-coding
BCOR_peak_5644	chr3	47819212	47819600	+	.	NA	promoter-TSS (NM_014966)	NA	3	NM_014966	22907		NM_014966	ENSG00000132153	DHX30	DDX30|NEDMIAL|RETCOR	DExH-box helicase 30	protein-coding
BCOR_peak_17230	chr1	183281185	183282181	+	.	NA	intron (NM_007212, intron 1 of 6)	NA	370	NM_007212	6045		NM_007212	ENSG00000121481	RNF2	BAP-1|BAP1|DING|HIPI3|LUSYAM|RING1B|RING2	ring finger protein 2	protein-coding
BCOR_peak_12332	chr14	57835099	57835227	+	.	NA	promoter-TSS (NR_029435)	NA	137	NM_002892	5926		NM_002892	ENSG00000032219	ARID4A	RBBP-1|RBBP1|RBP-1|RBP1	AT-rich interaction domain 4A	protein-coding
BCOR_peak_8216	chr2	112749974	112750206	+	.	NA	intron (NM_198581, intron 1 of 11)	NA	445	NM_198581	376940		NM_198581	ENSG00000188177	ZC3H6	ZC3HDC6	zinc finger CCCH-type containing 6	protein-coding
BCOR_peak_17078	chr1	158162096	158162248	+	.	NA	promoter-TSS (NM_003564)	NA	-251	NM_003564	8407		NM_003564	ENSG00000158710	TAGLN2	HA1756	transgelin 2	protein-coding
BCOR_peak_1919	chr7	24884246	24884397	+	.	NA	intron (NM_145320, intron 1 of 20)	NA	14444	NM_145321	26031		NM_015550	ENSG00000070882	OSBPL3	ORP-3|ORP3|OSBP3	oxysterol binding protein like 3	protein-coding
BCOR_peak_12053	chr15	83325063	83325864	+	.	NA	promoter-TSS (NM_173454)	NA	-628	NM_002605	5151		NM_002605	ENSG00000073417	PDE8A	HsT19550	phosphodiesterase 8A	protein-coding
BCOR_peak_3368	chr6	44227654	44227814	+	.	NA	intron (NM_018426, intron 19 of 23)	NA	-6801	NM_007058	11131		NM_007058	ENSG00000137225	CAPN11	calpain11	calpain 11	protein-coding
BCOR_peak_7876	chr2	55698168	55698326	+	.	NA	promoter-TSS (NM_001122964)	NA	14	NM_020463	57223		NM_020463	ENSG00000275052	PPP4R3B	FLFL2|PP4R3B|PSY2|SMEK2|smk1	protein phosphatase 4 regulatory subunit 3B	protein-coding
BCOR_peak_12717	chr14	104629960	104630272	+	.	NA	Intergenic	NA	-1413	NR_110546	102723354		NR_110546		LINC02298	-	long intergenic non-protein coding RNA 2298	ncRNA
BCOR_peak_6211	chr3	182189790	182190379	+	.	NA	promoter-TSS (NM_001190233)	NA	-84	NM_001190233	131118		NM_145261	ENSG00000205981	DNAJC19	PAM18|TIM14|TIMM14	DnaJ heat shock protein family (Hsp40) member C19	protein-coding
BCOR_peak_6886	chr21	33882615	33882855	+	.	NA	TTS (NM_145858)	NA	125	NM_017613	29980		NM_017613	ENSG00000159147	DONSON	B17|C21orf60|MIMIS|MISSLA	DNA replication fork stabilization factor DONSON	protein-coding
BCOR_peak_3650	chr6	131425866	131426134	+	.	NA	promoter-TSS (NM_001431)	NA	78	NM_001431	2037		NM_001431	ENSG00000079819	EPB41L2	4.1-G|4.1G	erythrocyte membrane protein band 4.1 like 2	protein-coding
BCOR_peak_4353	chr5	110875529	110876236	+	.	NA	promoter-TSS (NR_040093)	NA	59	NR_040093	100505678		NR_040093	ENSG00000246859	STARD4-AS1	-	STARD4 antisense RNA 1	ncRNA
BCOR_peak_2821	chr7	151110907	151111179	+	.	NA	intron (NM_001040633, intron 2 of 15)	NA	-23314	NM_001354885	644090		NM_001354885	ENSG00000242048	PRKAG2-AS2	-	PRKAG2 antisense RNA 2	ncRNA
BCOR_peak_12892	chr13	39532498	39532723	+	.	NA	Intergenic	NA	-121336	NR_046870	100874127		NR_046870		LINC00332	NCRNA00332	long intergenic non-protein coding RNA 332	ncRNA
BCOR_peak_8588	chr2	208103645	208103822	+	.	NA	intron (NR_163946, intron 1 of 8)	NA	802	NM_001371427	1385		NM_004379	ENSG00000118260	CREB1	CREB|CREB-1	cAMP responsive element binding protein 1	protein-coding
BCOR_peak_13417	chr12	7233602	7233973	+	.	NA	5' UTR (NM_001351137, exon 1 of 15)	NA	238	NM_001374648	5830		NM_000319	ENSG00000139197	PEX5	PBD2A|PBD2B|PTS1-BP|PTS1R|PXR1|RCDP5	peroxisomal biogenesis factor 5	protein-coding
BCOR_peak_1049	chr8	23076054	23076318	+	.	NA	intron (NM_003840, intron 1 of 8)	NA	1299	NM_003840	8793		NM_003840	ENSG00000173530	TNFRSF10D	CD264|DCR2|TRAIL-R4|TRAILR4|TRUNDD	TNF receptor superfamily member 10d	protein-coding
BCOR_peak_3638	chr6	127629444	127629897	+	.	NA	promoter-TSS (NM_001242845)	NA	-6	NM_001242845	81847		NM_030963	ENSG00000118518	RNF146	-	ring finger protein 146	protein-coding
BCOR_peak_3806	chr6	158367206	158367855	+	.	NA	intron (NM_003898, intron 2 of 26)	NA	9417	NM_001178088	8871		NM_003898	ENSG00000078269	SYNJ2	INPP5H	synaptojanin 2	protein-coding
BCOR_peak_16774	chr1	91642512	91642778	+	.	NA	intron (NM_001017975, intron 1 of 38)	NA	235	NR_165455	164045		NM_001017975	ENSG00000162669	HFM1	MER3|POF9|SEC63D1|Si-11|Si-11-6|helicase	helicase for meiosis 1	protein-coding
BCOR_peak_11553	chr16	88542452	88542743	+	.	NA	promoter-TSS (NM_001242818)	NA	-43	NM_001242820	54849		NM_017702	ENSG00000140995	DEF8	-	differentially expressed in FDCP 8 homolog	protein-coding
BCOR_peak_12251	chr14	38642003	38642484	+	.	NA	promoter-TSS (NM_006364)	NA	-53	NM_006364	10484		NM_006364	ENSG00000100934	SEC23A	CLSD|hSec23A	SEC23 homolog A, COPII coat complex component	protein-coding
BCOR_peak_11871	chr15	65902713	65903629	+	.	NA	Intergenic	NA	-1730	NM_001365915	390598		NM_001031807	ENSG00000188779	SKOR1	CORL1|FUSSEL15|LBXCOR1	SKI family transcriptional corepressor 1	protein-coding
BCOR_peak_8881	chr19	1396141	1396381	+	.	NA	Intergenic	NA	-4859	NM_005883	10297		NM_005883	ENSG00000115266	APC2	APCL|MRT74	APC regulator of WNT signaling pathway 2	protein-coding
BCOR_peak_6488	chr22	16501528	16501952	+	.	NA	intron (NM_001270726, intron 1 of 5)	NA	217	NM_015367	23786		NM_015367	ENSG00000099968	BCL2L13	BCL-RAMBO|Bcl2-L-13|MIL1	BCL2 like 13	protein-coding
BCOR_peak_2709	chr7	142261869	142263336	+	.	NA	promoter-TSS (NM_001280794)	NA	-296	NM_001280794	2051		NM_004445	ENSG00000106123	EPHB6	HEP	EPH receptor B6	protein-coding
BCOR_peak_2528	chr7	116111211	116111376	+	.	NA	intron (NM_001324402, intron 1 of 19)	NA	4024	NR_165032	100996266		NR_120506		COMETT	COMET|LINC01510	cytosolic oncogenic antisense to MET transcript	ncRNA
BCOR_peak_1771	chr7	2075724	2075964	+	.	NA	intron (NM_001013837, intron 11 of 18)	NA	19369	NR_145797	109623488		NR_145797		SNORA114	-	small nucleolar RNA, H/ACA box 114	snoRNA
BCOR_peak_3408	chr6	53766489	53766649	+	.	NA	Intergenic	NA	-1193	NM_018214	55227		NM_018214	ENSG00000137269	LRRC1	LANO|dJ523E19.1	leucine rich repeat containing 1	protein-coding
BCOR_peak_16431	chr1	33219517	33219668	+	.	NA	Intergenic	NA	-16595	NM_001300826	127544		NM_153341	ENSG00000116514	RNF19B	IBRDC3|NKLAM	ring finger protein 19B	protein-coding
BCOR_peak_11313	chr16	69114769	69114944	+	.	NA	promoter-TSS (NM_012426)	NA	102	NM_001365426	25839		NM_015386	ENSG00000103051	COG4	CDG2J|COD1|SWILS	component of oligomeric golgi complex 4	protein-coding
BCOR_peak_14209	chr11	317154	317387	+	.	NA	Intergenic	NA	-6410	NM_021034	10410		NM_021034	ENSG00000142089	IFITM3	1-8U|DSPA2b|IP15	interferon induced transmembrane protein 3	protein-coding
BCOR_peak_8956	chr19	3805293	3805634	+	.	NA	intron (NM_001145640, intron 1 of 1)	NA	14573	NM_001145640	23217		NM_015174	ENSG00000105278	ZFR2	KIAA1086	zinc finger RNA binding protein 2	protein-coding
BCOR_peak_6935	chr21	39739236	39739858	+	.	NA	promoter-TSS (NM_001384291)	NA	27	NM_001384312	150082		NM_152505	ENSG00000157578	LCA5L	C21orf13	lebercilin LCA5 like	protein-coding
BCOR_peak_1447	chr8	124356195	124356910	+	.	NA	promoter-TSS (NM_007222)	NA	410	NR_037873	11244		NM_007222	ENSG00000165156	ZHX1	-	zinc fingers and homeoboxes 1	protein-coding
BCOR_peak_5595	chr3	42789397	42789914	+	.	NA	promoter-TSS (NM_144719)	NA	94	NM_144719	152206		NM_144719	ENSG00000244607	CCDC13	-	coiled-coil domain containing 13	protein-coding
BCOR_peak_7126	chr20	348233	348498	+	.	NA	exon (NM_031229, exon 6 of 12)	NA	11422	NR_136659	10616		NM_006462	ENSG00000125826	RBCK1	C20orf18|HOIL-1|HOIL1|PBMEI|PGBM1|RBCK2|RNF54|UBCE7IP3|XAP3|XAP4|ZRANB4	RANBP2-type and C3HC4-type zinc finger containing 1	protein-coding
BCOR_peak_602	chr9	97264492	97265389	+	.	NA	promoter-TSS (NR_038982)	NA	-772	NR_038982	100507346		NR_038982		LOC100507346	-	uncharacterized LOC100507346	ncRNA
BCOR_peak_6951	chr21	42169501	42169827	+	.	NA	intron (NM_022115, intron 3 of 30)	NA	2858	NM_001282934	63977		NM_022115	ENSG00000141956	PRDM15	C21orf83|PFM15|ZNF298	PR/SET domain 15	protein-coding
BCOR_peak_1854	chr7	6453597	6454123	+	.	NA	intron (NM_139179, intron 1 of 14)	NA	250	NM_139179	221955		NM_139179	ENSG00000164535	DAGLB	DAGLBETA|KCCR13L	diacylglycerol lipase beta	protein-coding
BCOR_peak_5926	chr3	124268409	124269250	+	.	NA	intron (NR_028444, intron 1 of 15)	NA	267	NR_028444	10954		NM_006810	ENSG00000065485	PDIA5	PDIR	protein disulfide isomerase family A member 5	protein-coding
BCOR_peak_11770	chr15	56829491	56829644	+	.	NA	promoter-TSS (NM_001320570)	NA	-369	NM_001110	102		NM_001110	ENSG00000137845	ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	ADAM metallopeptidase domain 10	protein-coding
BCOR_peak_1259	chr8	67741304	67742465	+	.	NA	promoter-TSS (NR_161216)	NA	136	NM_025054	80124		NM_025054	ENSG00000175073	VCPIP1	DUBA3|VCIP135	valosin containing protein interacting protein 1	protein-coding
BCOR_peak_5890	chr3	116349575	116349749	+	.	NA	promoter-TSS (NM_001348802)	NA	-837	NM_015642	26137		NM_015642	ENSG00000181722	ZBTB20	DPZF|HOF|ODA-8S|PRIMS|ZNF288	zinc finger and BTB domain containing 20	protein-coding
BCOR_peak_496	chr9	70978987	70979483	+	.	NA	intron (NM_201629, intron 1 of 20)	NA	222	NM_001369873	9414		NM_004817	ENSG00000119139	TJP2	C9DUPq21.11|DFNA51|DUP9q21.11|FHCA1|PFIC4|X104|ZO2	tight junction protein 2	protein-coding
BCOR_peak_4073	chr5	14718137	14718590	+	.	NA	promoter-TSS (NR_168439)	NA	536	NM_138348	90268		NM_138348	ENSG00000154124	OTULIN	AIPDS|FAM105B|GUM|IMD107	OTU deubiquitinase with linear linkage specificity	protein-coding
BCOR_peak_2171	chr7	68701050	68702032	+	.	NA	promoter-TSS (NR_108105)	NA	144	NM_001127232	26053		NM_015570	ENSG00000158321	AUTS2	FBRSL2|MRD26	activator of transcription and developmental regulator AUTS2	protein-coding
